,"METRO_ID","Patents","GDP","Population","Greenspace","Employment","Pollution"
1,"Vienna",1.32,41262.05,2630118,235.79,30.76,20.84
2,"Graz",2.61,35643.12,596616,924.67,7.11,16.14
3,"Linz",2.04,39714.94,601505,1735.1,7.47,19.31
4,"Brussels",1.24,45709.9,2436174,303.11,21.78,23.13
5,"Antwerp",1.08,38605.43,1040008,318.68,10.29,23.02
6,"Ghent",1.61,29813.1,568747,754.47,5.63,23.88
7,"Liege",0.52,25117.72,719881,496.48,6.16,20.25
8,"Berlin",1.76,29518.57,4363940,207.68,5.2,20.32
9,"Hamburg",1.76,46054.42,2973464,925.06,3.78,17.71
10,"Munich",4.94,51791.38,2786626,574.58,3.66,21.07
11,"Cologne",2.04,39323.97,1892004,71.59,2.24,22.41
12,"Frankfurt",2.89,50127.4,2510347,101.07,3.11,19.21
13,"Essen",1.19,32557.03,765005,40.97,0.9,23.56
14,"Stuttgart",6.28,44090.18,1949365,177.84,2.58,19.16
15,"Leipzig",0.74,25773.74,841674,361.39,1.02,22
16,"Dresden",2.31,26196.74,832097,517.75,1,18.25
17,"Dortmund",1.16,30762.06,832638,63.68,0.98,22.74
18,"Dusseldorf",3.02,42111.38,1428489,53.8,1.69,24.09
19,"Bremen",0.88,38125.37,1024841,1424.72,1.01,18.05
20,"Hanover",2.01,36179.87,1225512,559.11,1.52,18.96
21,"Bochum",1.12,30195.18,658177,27.07,0.78,23.78
22,"Freiburg",2.77,33543.46,523171,595.76,0.69,17.57
23,"Augsburg",2.1,33635.88,594054,751.96,0.78,20.83
24,"Bonn",2.07,38812.14,743893,116.29,0.88,20.14
25,"Karlsruhe",3.04,41520.09,682950,224.1,0.9,19.97
26,"Duisburg",1.09,35080.35,819201,123.94,0.97,25.42
27,"Mannheim",5.28,36923.54,1246471,83.01,1.59,21.94
28,"Aachen",3.76,28089.46,581472,246.6,0.69,18.5
29,"Copenhagen",3.72,37476.61,1972725,386.18,36.85,15.95
30,"Tallinn",0.41,28456.85,530889,1468.15,39.39,7.2
31,"Madrid",0.62,37185.59,6259099,27.4,15.49,14.49
32,"Barcelona",0.93,33874.36,3594393,2.45,8.69,14.88
33,"Valencia",0.56,27582.47,1525303,15.62,3.55,14.04
34,"Seville",0.29,22549.37,1384844,14.26,2.68,14.16
35,"Zaragoza",0.77,31437.99,802680,58.03,1.87,19.81
36,"Malaga",0.18,23794.39,805318,28.79,1.56,12.32
37,"Palmas",0.07,25158.1,647252,84.9,1.41,7.99
38,"Bilbao",0.39,34422.73,989856,212.52,2.26,10.61
39,"Helsinki",3.48,44733.98,1435086,80.77,31.11,8.55
40,"Paris",2.14,49956.64,11529670,92.85,20.33,18.28
41,"Lyon",2.81,37866.19,1863301,496.18,3.04,18.19
42,"Toulouse",2.8,33391.99,1175096,185.78,1.98,12.89
43,"Strasbourg",1.4,30999.5,750126,365.43,1.34,21.84
44,"Bordeaux",0.89,29560.46,1096729,1349.14,1.75,13.4
45,"Nantes",0.67,30722.43,851118,605.8,1.37,13.97
46,"Lille",0.64,26099.21,1342383,41.26,1.93,26.45
47,"Montpellier",1.27,27291.98,618454,208.6,0.88,12.41
48,"Rennes",2.34,29317.47,652633,520.34,1.04,15.59
49,"Grenoble",5.58,30797.7,642731,1115.82,1.05,11.58
50,"Toulon",0.43,24252.26,541211,13.88,0.83,10.8
51,"Marseille",1.22,30386.16,1697613,48.68,2.6,12.42
52,"Nice",2.06,30787.97,835633,234.02,1.28,15.06
53,"Rouen",0.68,27225.02,691978,677.19,1.08,16.73
54,"Rome",0.52,37664.43,3941844,236.61,7.03,13.59
55,"Naples",0.17,17664.71,3544063,13.02,4.43,15.17
56,"Turin",1.07,32193.76,1734766,244.26,3.24,29.89
57,"Palermo",0.12,18962.79,934310,44.8,1.18,10.85
58,"Genova",0.63,31162.97,720659,330.63,1.28,14.83
59,"Florence",0.81,35318.3,718528,510.26,1.34,11.27
60,"Bologna",1.55,38091.72,736403,190.64,1.47,24.1
61,"Catania",0.23,18246.96,620503,35.63,0.79,12.86
62,"Venice",0.49,34748.66,540352,1.19,1.05,31.44
63,"Mito",1.95,29130.28,587575,70.14,0.47,14.74
64,"Tokyo",2.53,38165.44,34482742,4.75,27.95,22.35
65,"Kofu",1.67,27698.47,515136,37.09,0.42,17.05
66,"Nagoya",1.65,33972.34,6364462,7.62,5.25,24.79
67,"Numazu",2.13,33669.86,530836,31.95,0.44,12.51
68,"Osaka",2.59,31069.86,17211139,10.99,12.84,21.16
69,"Okayama",1.27,23797.03,875734,85.3,0.67,19.25
70,"Kurashiki",1.49,42269.58,575995,20.87,0.44,18.83
71,"Fukuyama",1.52,30097.11,559460,33.38,0.43,15.03
72,"Hiroshima",1.44,29829.75,1395689,11.69,1.06,12.93
73,"Takamatsu",1.5,35664.94,526596,19.16,0.4,19.57
74,"Monterrey",0.07,25972.52,3915469,51.31,3.97,14.25
75,"Irapuato",0.06,5133.12,509017,229.4,0.42,23.42
76,"Hague",1.68,36914.72,856025,21.82,5.22,21.87
77,"Amsterdam",1.18,40064.41,2317340,219.26,14.13,22.57
78,"Rotterdam",1.07,38438.17,1473917,72.38,8.99,24.06
79,"Utrecht",1.61,42593.86,698897,240.49,4.26,19.85
80,"Oslo",1.99,46010.78,1189595,316.5,26.18,6.5
81,"Lisbon",0.14,31508.02,2758968,66.52,25.55,12.74
82,"Porto",0.22,21552,1294369,67.33,12.25,15.78
83,"Stockholm",5.68,47443.31,1938753,119.36,22.89,7.8
84,"Gothenburg",4.31,32772.08,866669,302.92,9.56,10.01
85,"Malmo",6.86,30325.86,647057,881.78,6.97,14.2
86,"Seattle",4.36,53267.17,2581101,106.62,0.89,6.02
87,"Portland",2,44955.78,2162610,445.87,0.74,5.85
88,"Minneapolis",5.21,45685.38,3212176,3061.19,1.16,12.2
89,"Milwaukee",1.22,42417.81,1544538,1602.99,0.56,14.22
90,"Madison",3.06,39182.8,531023,5081.25,0.19,10.87
91,"Buffalo",1.21,33529.23,1142342,2311.87,0.37,16.93
92,"Albany",2,37696.66,829004,1932.18,0.27,11.23
93,"Detroit",1.49,37162.84,3897193,538.08,1.23,17.09
94,"Boston",6.1,50324.49,3616814,87.66,1.24,11.51
95,"Chicago",1.71,48556.19,9231469,430.16,3.11,16.37
96,"Providence",0.9,51413.36,842024,123.13,0.29,11.09
97,"Toledo",1.31,35954.4,444432,569.45,0.15,17.31
98,"Cleveland",2.04,37605.18,1531657,501.03,0.51,19.44
99,"Omaha",0.34,45122.77,844399,756.54,0.31,12
100,"Akron",2.09,35580.47,542004,1285.57,0.18,16.35
101,"Pittsburgh",1.87,40246.89,1234856,610.85,0.41,17.65
102,"Harrisburg",0.67,36048.71,565403,3864.52,0.19,16.16
103,"Philadelphia",1.78,49099.64,4004502,378.71,1.33,20.51
104,"Columbus",1.15,37760.92,1661412,1917.88,0.56,19.68
105,"Denver",1.31,51317.29,2418085,5.24,0.89,8.88
106,"Indianapolis",1.74,38088.56,1607756,1064.91,0.53,18.65
107,"Dayton",0.84,34588.17,698590,1111.72,0.23,17.87
108,"Baltimore",1.32,61804.14,1939607,1000.03,0.68,20.65
109,"Cincinnati",2.47,40922.34,2065761,3045.68,0.68,15.71
110,"Washington",1.39,57145.96,5098743,1150.43,1.79,18.74
111,"Louisville",0.7,37792.79,1201653,4304.6,0.37,15.17
112,"Wichita",0.58,35942.6,577946,42.34,0.2,10.21
113,"Richmond",0.37,42274.02,500350,214.51,0.18,15.37
114,"Fresno",0.2,31447.09,1047811,83.58,0.34,14.62
115,"Nashville",0.62,39029,1198031,4474.39,0.38,14.4
116,"Tulsa",0.68,40129.72,931604,2200.96,0.29,10.49
117,"Raleigh",3.88,38566.27,1054223,1758.04,0.33,13.83
118,"Charlotte",1.02,39155.43,1219694,836.32,0.39,15.14
119,"Albuquerque",0.73,38059.97,852670,71.24,0.27,8.55
120,"Memphis",1.05,35697.94,1253006,3239.39,0.39,14
121,"Columbia",0.41,33109.26,623161,220.8,0.19,12.82
122,"Atlanta",1.27,42352.45,4202262,111.1,1.42,16.2
123,"Phoenix",1.03,42304.44,3654911,10.51,1.22,9.1
124,"Dallas",1.4,48973.56,3966038,225.75,1.26,14.45
125,"Charleston",0.62,39554.74,639308,473.77,0.2,10.89
126,"Tucson",1.7,35108.24,951298,1.13,0.32,7.45
127,"Austin",2.68,48858.72,1608564,172.01,0.51,9.67
